,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,946.1412899549683,291.0633815656659,1404768142.0,220303545.0,1484734,756892
2,437.0033746569118,215.30169062223078,761693386.0,180035489.0,1742992,836201
3,522.6461214375105,243.46848169465503,1031119648.0,206468820.0,1972883,848031
4,375.8463136150489,211.96297377758876,499259585.0,100176033.0,1328361,472611
5,534.6623489295754,232.90106903500762,928719728.0,166075464.0,1737021,713073
6,390.6381745484627,219.20251961523118,566659736.0,123624741.0,1450600,563975
7,298.54094020818064,208.35612110056525,415902459.0,84670302.0,1393117,406373
8,253.3373986024598,176.16652958996846,360589813.0,42624725.0,1423358,241957
9,730.3677852669024,238.18998191095412,1531665238.0,167492337.0,2097115,703188
10,356.6642500015982,193.52308580748627,502134401.0,49596677.0,1407863,256283
11,448.2363989480739,214.42599403281812,871480481.0,154445254.0,1944243,720273
12,555.1527942490902,232.2376270710662,858989584.0,173738130.0,1547303,748105
13,673.2954717500921,246.07069619721642,1143795694.0,225617546.0,1698802,916881
14,562.0763219883579,243.61476868078145,848277154.0,173907326.0,1509185,713862
15,390.58513435339273,221.17901454395238,382827723.0,108688916.0,980139,491407
16,333.86085173325193,210.29139458288336,441853486.0,125015290.0,1323466,594486
17,967.6773822852089,283.8533867808562,2322442168.0,414036214.0,2400017,1458627
18,442.202882913596,217.7789643625031,243855433.0,58139579.0,551456,266966
