,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,278.7963078076466,187.81361845907617,296013095.0,105612293.0,1061754,562325
2,485.5414584476476,207.26420520061183,956556002.0,220192310.0,1970081,1062375
3,374.203172187563,198.87698120697846,521777303.0,140270918.0,1394369,705315
4,272.09278903567696,187.65933946507425,349967922.0,98424321.0,1286208,524484
5,189.92595326632124,160.58773907526307,302825347.0,80486896.0,1594439,501202
6,186.87270912912646,164.62627927338008,193633390.0,44751020.0,1036178,271834
7,619.5748429272693,221.3110400836602,1890208844.0,251414653.0,3050816,1136024
8,196.53927756963674,162.93719816804895,308877984.0,47032474.0,1571584,288654
9,251.57321093949736,176.42020679394372,435917758.0,70553087.0,1732767,399915
10,306.11317980357705,185.92201501023425,615178209.0,89924901.0,2009643,483670
11,328.890819241971,186.64839947814707,832261507.0,133194351.0,2530510,713611
12,286.90864584280035,187.64269315536612,767124574.0,187902203.0,2673759,1001383
13,279.1763475410543,187.1685406106292,569616344.0,173507296.0,2040346,927011
14,239.28848187491738,171.70845190210963,340322779.0,107406384.0,1422228,625516
15,840.2985339857993,271.0254885390695,2891550445.0,516987624.0,3441099,1907524
16,359.89017227597066,202.26213093595223,476779981.0,135866148.0,1324793,671733
17,516.0593221414802,231.05565440344537,569123638.0,151936653.0,1102826,657576
18,442.74777469398043,250.41662246380025,449700243.0,129826745.0,1015703,518443
