mean_red,mean_green,total_red,total_green,glomerulus
719.3,250.6,341380583.0,20159956.0,L7
631.5,219.4,338518951.0,22462401.0,L6
516.8,214.2,252738972.0,17847546.0,L5
417.4,168.5,154780030.0,5328532.0,L4
763.1,210.9,1037880737.0,88632729.0,L3
504.7,239.9,165585284.0,12193735.0,L2
310.0,121.4,190385001.0,15945974.0,L1+9
758.1,251.8,223445824.0,15104779.0,L8
719.3,250.6,341380583.0,20159956.0,added
