mean_red,mean_green,total_red,total_green,glomerulus
436.8,132.6,738163716.0,32185502.0,L4
503.7,140.9,738791751.0,30264226.0,L3
407.2,137.0,446529149.0,11873727.0,L2
390.8,147.3,164540653.0,7599152.0,L1+9
925.0,158.8,1893639734.0,119608832.0,L8
330.1,136.7,185855605.0,12722188.0,L7
330.8,128.2,108805835.0,4773084.0,L6
356.0,132.1,507723142.0,23976721.0,L5
436.8,132.6,738163716.0,32185502.0,added
