glomerulus,mean_green,total_green,percentage_total_green,percentage_total_green_divided_by_d7countall,percentage_total_green_divided_by_d7%all,mean_red,total_red,percentage_total_red,percentage_total_red_divided_by_d7countall,percentage_total_red_divided_by_d7%all,total_green_avg,percentage_total_green_avg,percentage_total_green_divided_by_d7countall_avg,percentage_total_green_divided_by_d7%all_avg,total_red_avg,percentage_total_red_avg,percentage_total_red_divided_by_d7countall_avg,percentage_total_red_divided_by_d7%all_avg
-4,5860.3,1128170117.0,6.526031370134769,0.14684881732957958,10.137437248850688,17500.1,16237353020.0,6.730388794483685,0.1514472699535573,10.454882944124922,47007088.208333336,0.2719179737556154,0.0061187007220658155,0.422393218702112,676556375.8333334,0.2804328664368202,0.006310302914731555,0.4356201226718717
-3,5633.6,1081626192.0,6.138867736381886,0.13154716577961187,9.140853341272733,15844.2,15505868898.0,6.468171263504343,0.1386036699322359,9.63119054602318,45067758.0,0.2557861556825786,0.005481131907483828,0.3808688892196972,646077870.75,0.2695071359793476,0.005775152913843163,0.4012996060842992
-2,5480.3,770592521.0,4.261698303749317,0.12582870211421535,8.414222870843039,13552.1,10785688379.0,4.396369129196624,0.12980492332250138,8.680114601967487,32108021.708333332,0.17757076265622154,0.005242862588092306,0.35059261961845994,449403682.4583333,0.18318204704985933,0.005408538471770891,0.3616714417486453
-1,5240.3,520523204.0,2.8356681108036534,0.1346501533677258,8.475356030565221,12912.1,7555939472.0,3.0061118596554075,0.14274358180387464,8.98478498989906,21688466.833333332,0.11815283795015223,0.005610423056988574,0.3531398346068842,314830811.3333333,0.12525466081897532,0.00594764924182811,0.37436604124579415
0,6467.2,4155965819.0,24.0,0.5539983511953833,36.67963454904741,29055.2,59832643591.0,24.0,0.5539983511953833,36.67963454904741,173165242.45833334,1.0,0.023083264633140973,1.5283181062103086,2493026816.2916665,1.0,0.023083264633140973,1.5283181062103086
1,5429.3,488250093.0,2.760539899294197,0.13071327595305102,8.51249453691776,14139.2,8720131860.0,3.4649338802157184,0.1640667677216011,10.684587726356998,20343753.875,0.11502249580392487,0.005446386498043792,0.3546872723715733,363338827.5,0.14437224500898826,0.006836115321733379,0.4451911552648749
2,5972.6,953253369.0,5.4263228775676415,0.1618072849540937,10.935026657673578,16646.4,12731098837.0,5.100357286775492,0.15208733123505197,10.278146758482206,39718890.375,0.2260967865653184,0.006741970206420571,0.4556261107363991,530462451.5416667,0.21251488694897883,0.006336972134793832,0.4282561149367586
3,6254.2,1074361820.0,6.332540893670954,0.13368520609911036,9.120793525056735,17753.2,15202605846.0,6.3614382086000445,0.1342952524559949,9.16241448689848,44765075.833333336,0.26385587056962306,0.005570216920796265,0.3800330635440306,633441910.25,0.26505992535833517,0.005595635518999788,0.3817672702874367
4,5860.3,1128170117.0,6.526031370134769,0.14684881732957958,10.137437248850688,17500.1,16237353020.0,6.730388794483685,0.1514472699535573,10.454882944124922,47007088.208333336,0.2719179737556154,0.0061187007220658155,0.422393218702112,676556375.8333334,0.2804328664368202,0.006310302914731555,0.4356201226718717
