bodyId_pre,instance_pre,type_pre,bodyId_post,instance_post,type_post,roi,weight
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1219069439,EPGt(PB09)_R9,EPGt,PB(R9),54
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1601771527,PEN_b(PB06b)_R9,PEN_b(PEN2),PB(R9),48
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1218732931,PFNd(PB04)_R9_C1,PFNd,PB(R9),33
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1125969082,PEG(PB07)_R9,PEG,PB(R9),33
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1218728570,PEN_b(PB06b)_R9,PEN_b(PEN2),PB(R9),32
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1217385533,PFNa(PB03)_R9_C1,PFNa,PB(R9),32
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1188388754,IbSpsP(PB17)_R9,IbSpsP,PB(R9),32
910442752,Delta7(PB15)_L8R1R9_L,Delta7,5812987803,PFNv(PB05)_R9_C1,PFNv,PB(R9),23
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1218732781,PFNd(PB04)_R9_C1,PFNd,PB(R9),19
910442752,Delta7(PB15)_L8R1R9_L,Delta7,881217171,LPsP(PB13)_R,LPsP,PB(R9),18
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1218728541,PFNa(PB03)_R9_C1,PFNa,PB(R9),16
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1155652503,PFNa(PB03)_R9_C1,PFNa,PB(R9),13
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1095275456,LPsP(PB13)_L,LPsP,PB(R9),12
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1218732640,PEN_a(PB06a)_R9,PEN_a(PEN1),PB(R9),10
910442752,Delta7(PB15)_L8R1R9_L,Delta7,910783731,Delta7(PB15)_L8R1R9_L,Delta7,PB(R9),9
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1310499077,PFNm_a(PB02a)_R9_C1,PFNm_a,PB(R9),8
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1249763220,PFNp_c(PB01c)_R9_C1,PFNp_c,PB(R9),8
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1248770299,PFNp_c(PB01c)_R9_C1,PFNp_c,PB(R9),8
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1249098248,PFNp_c(PB01c)_R9_C1,PFNp_c,PB(R9),7
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1248424794,PFNp_b(PB01b)_R9_C1,PFNp_b,PB(R9),7
910442752,Delta7(PB15)_L8R1R9_L,Delta7,5813087532,IbSpsP(PB17)_R9,IbSpsP,PB(R9),7
910442752,Delta7(PB15)_L8R1R9_L,Delta7,910783883,Delta7(PB15)_L8R1R9_L,Delta7,PB(R9),7
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1219069788,PFNp_a(PB01a)_R9_C2,PFNp_a,PB(R9),6
910442752,Delta7(PB15)_L8R1R9_L,Delta7,972513129,P6-8P9(PB14)_R,P6-8P9,PB(R9),6
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1168659995,EPGt(PB09)_R9,EPGt,PB(R9),5
910442752,Delta7(PB15)_L8R1R9_L,Delta7,911565419,Delta7(PB15)_L3R6_R,Delta7,PB(R9),5
910442752,Delta7(PB15)_L8R1R9_L,Delta7,5813058389,P6-8P9(PB14)_R,P6-8P9,PB(R9),5
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1248765883,PFNp_d(PB01a)_R9_C2,PFNp_d,PB(R9),5
910442752,Delta7(PB15)_L8R1R9_L,Delta7,910783961,Delta7(PB15)_L3R6_R,Delta7,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1631131487,PFNm_a(PB02a)_R9_C1,PFNm_a,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,911906936,Delta7(PB15)_L3R6_R,Delta7,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,5813023615,PFNp_b(PB01b)_R9_C1,PFNp_b,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1136204852,PFGs(PB10)_R9_C1,PFGs,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,911911699,Delta7(PB15)_L2R7_R,Delta7,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,942522378,Delta7(PB15)_L2R7_R,Delta7,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,911134009,Delta7(PB15)_L4R5_R,Delta7,PB(R9),4
910442752,Delta7(PB15)_L8R1R9_L,Delta7,911911193,Delta7(PB15)_L8R1R9_L,Delta7,PB(R9),3
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1217372569,PFNp_a(PB01a)_R9_C2,PFNp_a,PB(R9),3
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1312860468,,,PB(R9),3
910442752,Delta7(PB15)_L8R1R9_L,Delta7,911574261,Delta7(PB15)_L1L9R8_R,Delta7,PB(R9),3
910442752,Delta7(PB15)_L8R1R9_L,Delta7,1312520177,,,PB(R9),3
910442752,Delta7(PB15)_L8R1R9_L,Delta7,911470352,Delta7(PB15)_L2R7_R,Delta7,PB(R9),3
910442752,Delta7(PB15)_L8R1R9_L,Delta7,941469301,P1-9(PB19)_R,P1-9,PB(R9),3
