Glomerulus,SynapseCount
PB(R1),0
PB(R2),5
PB(R3),40
PB(R4),28
PB(R5),19
PB(R6),5
PB(R7),812
PB(R8),113
PB(R9),0
PB(L1),637
PB(L2),833
PB(L3),5
PB(L4),6
PB(L5),0
PB(L6),3
PB(L7),0
PB(L8),0
PB(L9),0
