Glomerulus,SynapseCount
PB(R1),0
PB(R2),1288
PB(R3),122
PB(R4),6
PB(R5),16
PB(R6),9
PB(R7),14
PB(R8),1
PB(R9),0
PB(L1),6
PB(L2),13
PB(L3),15
PB(L4),7
PB(L5),6
PB(L6),0
PB(L7),608
PB(L8),19
PB(L9),0
