Glomerulus,SynapseCount
PB(R1),1167
PB(R2),156
PB(R3),2
PB(R4),0
PB(R5),20
PB(R6),9
PB(R7),2
PB(R8),3
PB(R9),693
PB(L1),0
PB(L2),0
PB(L3),16
PB(L4),8
PB(L5),12
PB(L6),1
PB(L7),18
PB(L8),618
PB(L9),32
