instance_post,SynapseCount
Delta7(PB15)_L1L9R8_R,30
Delta7(PB15)_L6R3_L,20
Delta7(PB15)_L4R5_R,13
Delta7(PB15)_L8R1R9_L,10
Delta7(PB15)_L5R4_L,10
Delta7(PB15)_L7R2_L,5
Delta7(PB15)_L6R4_L,5
Delta7(PB15)_L3R6_R,4
Delta7(PB15)_L4R6_R,1
