Glomerulus,SynapseCount
PB(R1),57
PB(R2),81
PB(R3),177
PB(R4),167
PB(R5),72
PB(R6),37
PB(R7),48
PB(R8),14
PB(R9),31
PB(L1),41
PB(L2),53
PB(L3),45
PB(L4),108
PB(L5),82
PB(L6),51
PB(L7),31
PB(L8),46
PB(L9),1
