Glomerulus,SynapseCount
PB(R1),60
PB(R2),41
PB(R3),42
PB(R4),87
PB(R5),105
PB(R6),115
PB(R7),101
PB(R8),26
PB(R9),46
PB(L1),10
PB(L2),31
PB(L3),116
PB(L4),124
PB(L5),124
PB(L6),50
PB(L7),25
PB(L8),25
PB(L9),19
