Glomerulus,SynapseCount
PB(R1),25
PB(R2),28
PB(R3),73
PB(R4),20
PB(R5),42
PB(R6),106
PB(R7),98
PB(R8),75
PB(R9),8
PB(L1),82
PB(L2),65
PB(L3),152
PB(L4),103
PB(L5),31
PB(L6),39
PB(L7),29
PB(L8),7
PB(L9),43
