instance_post,SynapseCount
Delta7(PB15)_L2R7_R,18
Delta7(PB15)_L8R1R9_L,17
Delta7(PB15)_L3R6_R,5
Delta7(PB15)_L4R5_R,4
Delta7(PB15)_L1L9R8_R,3
Delta7(PB15)_L5R4_L,2
Delta7(PB15)_L6R3_L,1
Delta7(PB15)_L6R4_L,1
Delta7(PB15)_L4R6_R,1
