bodyId_pre,instance_pre,type_pre,bodyId_post,instance_post,type_post,roi,weight
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911906936,Delta7(PB15)_L3R6_R,Delta7,PB(R9),4
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1189066083,,,PB(R9),4
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911241750,Delta7(PB15)_L6R4_L,Delta7,PB(R9),4
911911193,Delta7(PB15)_L8R1R9_L,Delta7,5813040233,EPG(PB08)_R8,EPG,PB(R9),4
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1126310716,PFNp_e(PB01a)_R8_C3,PFNp_e,PB(R9),4
911911193,Delta7(PB15)_L8R1R9_L,Delta7,910442723,Delta7(PB15)_L4R5_R,Delta7,PB(R9),4
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911574261,Delta7(PB15)_L1L9R8_R,Delta7,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1250113157,PFNp_b(PB01b)_R9_C1,PFNp_b,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1126310776,PFNa(PB03)_R8_C2,PFNa,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,881221166,Delta7(PB15)_L1L9R8_R,Delta7,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911911699,Delta7(PB15)_L2R7_R,Delta7,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,910783731,Delta7(PB15)_L8R1R9_L,Delta7,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,911138168,Delta7(PB15)_L4R5_R,Delta7,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,973959177,Delta7(PB15)_L6R3_L,Delta7,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1218728544,PFNp_b(PB01b)_R9_C1,PFNp_b,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,910783961,Delta7(PB15)_L3R6_R,Delta7,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1125964651,PFNv(PB05)_R8_C3,PFNv,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1125964899,PFNp_b(PB01b)_R8_C3,PFNp_b,PB(R9),3
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1250791451,,,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,5813048042,Delta7(PB15)_L5R4_L,Delta7,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,5813023615,PFNp_b(PB01b)_R9_C1,PFNp_b,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,880880259,Delta7(PB15)_L4R5_R,Delta7,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1249763369,PFNp_d(PB01a)_R9_C2,PFNp_d,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1248765883,PFNp_d(PB01a)_R9_C2,PFNp_d,PB(R9),2
911911193,Delta7(PB15)_L8R1R9_L,Delta7,1217372569,PFNp_a(PB01a)_R9_C2,PFNp_a,PB(R9),2
