Glomerulus,SynapseCount
PB(R1),52
PB(R2),44
PB(R3),83
PB(R4),49
PB(R5),21
PB(R6),43
PB(R7),16
PB(R8),16
PB(R9),13
PB(L1),21
PB(L2),26
PB(L3),64
PB(L4),21
PB(L5),35
PB(L6),27
PB(L7),34
PB(L8),15
PB(L9),0
