,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,126.821266,110.548654,144000000.0,63459128,1136289,574038
2,519.182785,124.82661,2150000000.0,286694268,4137725,2296740
3,135.022328,104.112044,394000000.0,103583675,2916911,994925
4,133.041298,94.351399,187000000.0,27619202,1409210,292727
5,215.021745,99.728263,637000000.0,75154421,2961804,753592
6,244.618161,101.562373,946000000.0,104642963,3868467,1030332
7,265.577141,106.505024,944000000.0,76831766,3555177,721391
8,204.119425,100.496383,596000000.0,34702607,2921116,345312
9,133.925725,92.970268,202000000.0,7251402,1505480,77997
10,586.160871,137.325587,1440000000.0,60955395,2449715,443875
11,170.509079,106.944896,270000000.0,6672399,1583097,62391
12,170.861673,114.778395,269000000.0,12596355,1572566,109745
13,201.607442,112.635447,391000000.0,18288167,1939804,162366
14,251.394184,107.83923,659000000.0,23166347,2620942,214823
15,265.279374,119.160725,720000000.0,49809779,2713230,418005
16,312.065411,129.831111,902000000.0,63577516,2889670,489694
17,272.782549,123.798476,693000000.0,53089367,2540351,428837
18,662.695692,165.718068,2160000000.0,143887033,3263093,868264
