,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,271.672784374609,182.291097836769,191085943.0,61583037.0,703368,337828
2,326.30644371977417,179.17059528871243,515423543.0,117147827.0,1579569,653834
3,339.31683538629215,174.72238753216917,644130917.0,79094204.0,1898317,452685
4,246.91209237270738,160.4560911373798,577260719.0,52395332.0,2337920,326540
5,201.0609836357576,149.87967387507334,307029974.0,22739894.0,1527049,151721
6,210.08119253161,141.1789162100003,414795861.0,39777442.0,1974455,281752
7,502.4099881063066,152.70337701822413,2283587037.0,128578534.0,4545266,842015
8,206.08719642085376,138.35759610873805,361924770.0,16810863.0,1756173,121503
9,192.58621536334326,141.25403248861247,280796287.0,22234656.0,1458029,157409
10,341.08432031185396,153.82445921651637,738312143.0,42439553.0,2164603,275896
11,303.2766998769263,141.249415720304,812688753.0,56629857.0,2679694,400921
12,291.510886713896,134.1024661790407,875265227.0,64224219.0,3002513,478919
13,238.11852352146917,149.4924284274791,857426228.0,63052169.0,3600838,421775
14,210.76274312705553,145.68619937144322,539905650.0,58547350.0,2561675,401873
15,626.8780032151482,177.64269889968503,3066978690.0,230853260.0,4892465,1299537
16,308.8726655875803,173.23948292610027,695551900.0,132152448.0,2251905,762831
17,487.3426373930139,186.38888572969057,990811930.0,176996377.0,2033091,949608
18,358.3225143433377,180.65298359935568,446300008.0,98694338.0,1245526,546320
