,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,138.44581,252.53753,2020000.0,521490,14569,2065
2,369.594952,197.658916,1340000000.0,259493148,3620255,1312833
3,208.37608,177.976642,319000000.0,99289965,1529224,557882
4,310.479188,173.60287,286000000.0,81115073,921127,467245
5,331.021175,187.140315,454000000.0,130666421,1370550,698227
6,229.668817,197.027995,479000000.0,201084210,2087619,1020587
7,274.972499,207.466391,615000000.0,217027687,2235398,1046086
8,1080.535537,246.387688,4090000000.0,358539668,3781747,1455185
9,398.349637,192.172452,609000000.0,66458999,1529669,345830
10,529.930478,209.348596,850000000.0,84765456,1603051,404901
11,592.043174,222.57304,1080000000.0,133069076,1818970,597867
12,579.413825,221.910045,1460000000.0,197072319,2513563,888073
13,497.572336,202.88921,1010000000.0,178790638,2029281,881223
14,378.466975,201.675498,830000000.0,165640523,2193191,821322
15,273.131339,192.729445,500000000.0,103343263,1831889,536209
16,1076.558195,270.888028,3390000000.0,371153710,3146248,1370137
17,437.850556,223.890349,620000000.0,110298013,1416989,492643
18,275.878609,219.410905,203000000.0,61512725,734438,280354
