,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,68.19716336893714,121.6189024390244,1168422.0,199455.0,17133,1640
2,244.35249506389502,165.22111924939756,318428687.0,69522073.0,1303153,420782
3,215.80412760949224,158.45316618370012,517079638.0,113680798.0,2396060,717441
4,213.89738530625084,146.4831781125786,488274898.0,96148189.0,2282753,656377
5,164.67996852693403,137.68260508956467,401011862.0,78353243.0,2435098,569086
6,145.59653848315347,121.67789377428942,253891535.0,31935580.0,1743802,262460
7,366.7315518545103,160.00103108920015,1184835931.0,146176462.0,3230799,913597
8,182.43715898286814,144.27422739992699,241008244.0,37945276.0,1321048,263008
9,219.93878946807376,149.56356252765605,257905723.0,41911898.0,1172625,280228
10,245.53232998207528,137.24386646384974,545316747.0,83277794.0,2220957,606787
11,224.2339036760456,138.94798730597108,448486643.0,98206909.0,2000084,706789
12,221.24205577111607,138.0811273319358,471211950.0,109736662.0,2129848,794726
13,226.69240369777046,144.774586873983,385609446.0,120112236.0,1701025,829650
14,231.022073106015,157.8088342014869,362633731.0,127212384.0,1569693,806117
15,769.6634077897912,227.83086937722106,1948990170.0,337221583.0,2532263,1480140
16,345.39250457635984,177.98256146108454,338119920.0,97510772.0,978944,547867
17,351.6847353747512,190.16224495142288,333271226.0,101624225.0,947642,534408
18,251.23722960705192,182.09911436191834,194693025.0,69435667.0,774937,381307
