Glomerulus,SynapseCount
PB(R1),36
PB(R2),22
PB(R3),45
PB(R4),20
PB(R5),21
PB(R6),41
PB(R7),25
PB(R8),14
PB(R9),2
PB(L1),60
PB(L2),33
PB(L3),45
PB(L4),64
PB(L5),19
PB(L6),34
PB(L7),13
PB(L8),16
PB(L9),10
