glomerulus,mean_red,mean_green,total_red,total_green
glom_1,119.53018874189200,17.68465343994400,54761364.0,6948485.0
glom_2,98.79970829441790,12.713667941812400,4319196.0,403259.0
glom_3,76.66990995939350,17.160238931282700,1908521.0,376774.0
glom_4,79.56467441335350,17.919903426953600,6298327.0,1023208.0
glom_5,82.43694951325380,16.730335243794500,5326438.0,806332.0
glom_6,87.75127776354290,19.350997262416900,5388353.0,957598.0
glom_7,95.45774169417550,14.954691135192300,6956252.0,762866.0
glom_8,104.25644804716300,11.301635961680200,4166999.0,350398.0
glom_9,138.2384510479320,15.356615980988100,49728767.0,4795966.0
glom_10,109.24378578272600,11.331374769367200,8056765.0,512950.0
glom_11,85.57852661672450,14.668435820737500,2486626.0,257258.0
glom_12,79.0491161830078,18.36207856330320,2663195.0,402519.0
glom_13,96.24122533199300,17.10605788053540,4636951.0,631565.0
glom_14,80.4834290981115,20.622742337183500,2454760.0,505908.0
glom_15,85.87229801975960,13.080928959411500,1279154.0,72559.0
glom_16,103.44817652541200,12.33604463972310,5074949.0,425511.0
glom_17,167.33623701568300,20.248979513131000,113149070.0,11820253.0
glom_18,135.28233947994500,19.335977562425400,14297822.0,1560779.0
