glomerulus,mean_red,mean_green,total_red,total_green
L7,986.7,320.5,673180078.0,58901906.0
L6,705.5,307.5,467864973.0,41367606.0
L5,586.5,293.5,367984584.0,25657934.0
L4,484.4,283.1,218382012.0,15429372.0
L3,864.3,266.6,1570193979.0,137625088.0
L2,476.5,275.9,260874917.0,20272263.0
L1+9,980.8499999999999,335.15,861776791.0,50573000.0
L8,1374.9,413.0,820225397.0,72036229.0
added,986.7,320.5,673180078.0,58901906.0
