,mean_red,mean_green,total_red,total_green
1,1670.9494230639057,461.00274478544867,1283616663.0,127814394.0
2,903.498019646927,324.20034385671585,594240586.0,41107631.0
3,1023.9793173334975,380.61009548304673,864972737.0,90565411.0
4,803.5989707238919,333.7765026056746,380689744.0,28821601.0
5,982.4760612908218,361.1510011766189,793472229.0,68754483.0
6,765.1722859615909,356.32068363967335,443773910.0,42280656.0
7,706.8723438853845,383.4873476155484,291246250.0,20352824.0
8,550.0750263954548,263.99944733933364,243304235.0,6687634.0
9,1085.7178820042602,341.12906195911035,1433806635.0,104850793.0
10,757.3901589777662,320.3048067554401,393278627.0,11834622.0
11,825.1578499770029,327.53758230121093,724795551.0,56910310.0
12,983.4832869616674,346.76465479605105,741244469.0,73867460.0
13,1082.6302793679824,358.3201454112491,1027647818.0,113155352.0
14,969.2060801348616,368.76620057065514,733615343.0,80647693.0
15,797.6064272332624,328.7022480980919,299299419.0,34608731.0
16,752.7150173850116,295.5034676335995,308922523.0,27056593.0
17,1733.6636798088412,430.74871242855204,2115669537.0,228493239.0
18,966.6648422976664,368.3360013067625,186158382.0,13529718.0
