mean_red,mean_green,total_red,total_green,glomerulus
453.2,130.9,579053020.0,164273311.0,L7
337.7,113.3,503292243.0,156977419.0,L6
282.9,102.0,257471525.0,85101213.0,L5
268.8,102.6,367088764.0,128629858.0,L4
597.9,103.8,2218106309.0,322295460.0,L3
281.0,89.6,312042917.0,80858408.0,L2
359.1,123.0,387108046.0,123531269.0,L1+9
471.8,149.8,445319210.0,141257475.0,L8
453.2,130.9,579053020.0,164273311.0,added
