glomerulus,mean_red,mean_green,total_red,total_green
R2,756.7071191461927,64.72823094998321,710082610.0,60740001.0
R3,872.8054314803999,71.55406688713059,415425710.0,34057303.0
R4,659.1950419979797,68.76610053573464,167710425.0,17495265.0
R5,661.8919852293094,45.812840146920536,202008772.0,13982033.0
R6,1196.6863832345648,62.341877720506155,2555681734.0,133139309.0
R7,824.7985075293324,52.16975157043422,461785714.0,29208644.0
R8,836.0475922092719,65.89934374448812,412382983.0,32505049.0
R9,822.594930173092,78.97180067179083,434935553.0,41755234.0
R1,796.1831734227204,52.765766010286754,1056030291.0,69986718.0
