,mean_red,mean_green,total_red,total_green
1,636.1,280.5,189689932.0,32720527.0
2,650.4,232.5,312030171.0,39349715.0
3,506.7,218.7,148055790.0,17177156.0
4,712.7,254.7,1084101730.0,173085007.0
5,331.1,223.8,161644442.0,16943991.0
6,343.2,236.6,206283445.0,36822437.0
7,362.4,213.7,388819260.0,35820698.0
8,275.5,182.8,307403472.0,26938993.0
9,252.1,177.3,234386892.0,14727903.0
10,252.9,168.9,94256082.0,7045994.0
11,220.6,163.7,70997990.0,4528985.0
12,531.9,235.5,988025696.0,115736651.0
13,280.9,222.2,158458216.0,9867174.0
14,293.8,232.2,181650707.0,17843083.0
15,316.7,207.6,135149087.0,12397501.0
16,347.4,211.0,235854244.0,27122933.0
17,439.5,199.5,359203393.0,36643456.0
18,370.9,236.3,87556113.0,11763749.0
