,mean_red,mean_green,total_red,total_green
1,379.9,300.6,126891,1503
2,918.0,295.9,1080454680,58705797
3,630.4,267.1,214936767,15867093
4,762.4,254.1,236616654,21748544
5,733.2,257.5,377717561,41988856
6,685.4,286.1,329535558,34531775
7,824.4,342.4,455902689,50932679
8,1927.7,353.4,3885209667,198072131
9,920.1,297.1,510060536,16860741
10,1152.0,323.4,747025355,28225853
11,1130.7,353.2,968068988,49404276
12,1126.9,330.0,1296894610,79796675
13,965.9,297.3,895327229,66273274
14,874.9,316.7,695980024,53937260
15,751.5,304.7,370504884,22481508
16,1833.3,395.1,3214796538,213919679
17,1071.7,376.0,515180674,29443297
18,839.6,387.4,147837907,15168639
